,ID,Name,Zip,Lat,Long,Rating,Delivery,Price Tier,Price,Credit Cards,Outdoor Seating,Reservations,Brunch,Dinner,Lunch,Beer,Breakfast,Music,Happy Hour,Full Bar,Cocktails,Dessert,Wi-Fi,Wine,Jukebox,Public Lot,Restroom,Wheelchair Accessible,TVs,No,BYO,Take-out,Street Parking,Private Lot,Live Music,Valet Parking,Private Room,ATM,Tasting Menu
143,4aaae54cf964a520e85720e3,Zorba's Tavern,19121,39.96729520762904,-75.1749246870816,8.1,True,3.0,$$$,,Yes,Yes,Brunch,Dinner,Lunch,,Breakfast,,,,,,,Wine,,,,,,,BYO,,,,,,,,
144,569d001d498e4c558ea906e4,Champ's Diner,19121,39.979286,-75.160966,8.0,True,,,,,,Brunch,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
145,4be5dde3bcef2d7fbf7304e5,McDonald's,19121,40.00475730795104,-75.17984032630926,5.7,True,1.0,$,Yes,No,,Brunch,Dinner,Lunch,,Breakfast,,,,,,,,,,,,,,,,,,,,,,
146,4d0f8ef5ba378cfa84e47193,Mimmo's Pizza,19121,40.00474727563029,-75.17873097184828,6.6,True,1.0,$,,No,No,Brunch,,,,,,Happy Hour,,,,Yes,,,,,,,,,,,,Live Music,,,,
147,505100f6e4b02dee625a2b5f,Maple Star,19121,39.979211,-75.16043499999999,8.0,True,1.0,$,Yes (incl. American Express & MasterCard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,4e305759c65b80dfd84a1a22,Good Garden,19121,40.00444412231445,-75.17713928222656,,False,1.0,$,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4adca64df964a520472e21e3,"""Sexy"" Green Truck",19121,39.98092522396936,-75.15972823102696,8.1,False,1.0,$,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,4cc4b3eb01fb236a5384adba,Corfu Pizza,19126,40.05589759118875,-75.14040103529868,7.6,True,1.0,$,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,4b8d7afef964a52042fe32e3,Jong Ka Jib,19126,40.05189556239049,-75.12727325089045,7.8,True,2.0,$$,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,5560c56b498e62cbada8fd76,Sang Kee Asian Kitchen,19126,40.06275405566974,-75.13791759833002,7.1,True,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,4b11678cf964a520d57b23e3,Paris Baguette Café,19126,40.06274578292559,-75.13681795609725,8.4,True,1.0,$,Yes (incl. American Express),No,No,Brunch,,Lunch,,,,,,,,,,,,,,,,,,,,,,,,
154,4ca77f9276d3a093df380c6b,H-mart Food Court,19126,40.06282929725983,-75.13693400913762,7.5,False,2.0,$$,Yes,,No,Brunch,Dinner,Lunch,,,,,,,,,,,,,,,,,,,,,,,,
155,4b11542ef964a5205c7a23e3,More Food Court,19126,40.06284445594084,-75.13687329547669,7.8,True,,$$,Yes,,No,Brunch,Dinner,Lunch,,,,,,,,,,,,,,,,,,,,,,,,
156,5514262d498ef675aa8fc0c3,DuBu,19126,40.062911190536916,-75.13770755683059,8.2,True,2.0,$$,,,,Brunch,Dinner,Lunch,,Breakfast,,,,,,,,,,,,,,,,,,,,,,
157,55426c45498e88d7fe54b855,Café Bene,19126,40.063045185437055,-75.13767015652417,6.3,False,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,4b513252f964a520e44627e3,Cafe Soho,19126,40.05513978378155,-75.1259646392571,8.2,False,2.0,$$,Yes (incl. Visa & MasterCard),No,No,,Dinner,,Beer,,,,,,,,,,,,,,,,,,,,,,,
159,4c4a3118c668e21eaec940f8,Dunkin',19126,40.044944,-75.142839,7.5,True,1.0,$,Yes (incl. American Express),No,,,,,,Breakfast,,,,,,Yes,,,,,,,,,,,,,,,,
