,Zip Code,Venue ID,Venue Name,Venue Category,Venue Lat,Venue Long
88,19103,57e1e300cd10b190edcdca6b,Scarpetta,Italian Restaurant,39.949842,-75.173404
89,19103,51ca12c4498e023ee736154a,Cinnabon,Bakery,39.956416,-75.182085
90,19103,515c8455e4b03192daae6e26,Nathan's Famous,Hot Dog Joint,39.955410599160516,-75.18196329634485
91,19103,4b452c14f964a520f20626e3,Saladworks,Salad Place,39.955404,-75.18236
92,19103,4fbe4985e4b038a9932cf62e,Beck's Cajun Cafe,Cajun / Creole Restaurant,39.95544178975986,-75.18215844362064
93,19103,4a85ad43f964a520e0fe1fe3,Taco Bell,Fast Food Restaurant,39.955681,-75.181949
94,19103,59a6de5d5a2c912a88378875,Philly Pretzel Factory,Snack Place,39.955795,-75.18218
95,19103,4d2de6c0d9d8a1436db5f4d7,Old Nelson Food Company,Sandwich Place,39.95561540793795,-75.182090218273
96,19103,4fe0d1c5e4b096aa581d7c11,Troy Meditterranean,Food Truck,39.951569088284764,-75.17854359904233
97,19103,4b2cfcadf964a520d8cb24e3,Dunkin',Donut Shop,39.9553158,-75.1820153
98,19104,4fad7f01e4b0b0320d243e33,Han Dynasty,Szechuan Restaurant,39.95658634457237,-75.19707468846718
99,19104,4e777ad5b3ad783092db74df,Sabrina's Cafe @ Powelton,Breakfast Spot,39.96005496515995,-75.19077979051083
100,19104,4b245cbff964a520856624e3,Koreana,Korean Restaurant,39.95564474723804,-75.19890982638127
101,19104,531740af498e0b817696bbb1,Federal Donuts,Donut Shop,39.95367121220996,-75.19312642390238
102,19104,551463a2498eb487802cca9f,Corner Bakery Cafe,Bakery,39.956847,-75.19698
103,19104,3fd66200f964a52009ee1ee3,Pod,Asian Restaurant,39.95397077351332,-75.19603698857105
104,19104,586da1949343e030f2b48f32,Dim Sum House,Chinese Restaurant,39.95573081701866,-75.20180941375598
105,19104,53695e18498e2860935523cf,"Ochatto Hand Drawn Noodles, Japanese Cuisine & Bubble Tea",Japanese Restaurant,39.95461083295415,-75.1950536713487
106,19104,40b28c80f964a520f7f81ee3,White Dog Cafe,American Restaurant,39.95354810000001,-75.1929486
107,19104,57845003498e0942ee791146,Old Nelson food company,Sandwich Place,39.95763409139635,-75.19189091062364
108,19104,5132abf0e4b09cc3655a5742,Quality Taste Jamaican Restaurant,Caribbean Restaurant,39.96313,-75.20269499999999
109,19104,4ab574edf964a520bd7420e3,Ed's Buffalo Wings & Pizza,Pizza Place,39.95813879976856,-75.19309700756295
110,19104,563d1d86cd1073c835e636a9,honeygrow,Restaurant,39.95373180712753,-75.19781961532686
111,19104,4ab7da2df964a520247b20e3,Kim's Oriental Food,Food Truck,39.95452797791021,-75.19739090207598
112,19104,58b8626a158b962d98b09fdd,Beiler's Doughnuts,Donut Shop,39.95491016165859,-75.2001101192302
