,Zip,ID,Name,Category,Lat,Long
399,19151,4c423ca3cc410f47d883ac61,Slices & More,Italian Restaurant,39.961866502770256,-75.2604231599354
400,19151,4df3a3566284fefe8fc3083a,Aquarius Restaurant Breakfast Club,Restaurant,39.961848060706146,-75.26032905982046
401,19151,4bf41c38706e20a1c7f1a898,Economic Food Market,Deli / Bodega,39.97661,-75.252922
402,19151,4be6c3d7bcef2d7f986b05e5,Green Leaf Restaurant,Diner,39.977610987011715,-75.2662475834395
403,19151,4c9fcdf3d3c2b60c3be9d7bc,Pho & Cafe Anh Hong,Vietnamese Restaurant,39.961614545339515,-75.2626536804091
404,19151,4d56d938a747b60c61d32d2b,Sunny's Pizza & Wings,Pizza Place,39.96144406998303,-75.25901200824094
405,19151,4ed9580e775bcc53f94502ea,Sa Bai Dee,Asian Restaurant,39.96155772362058,-75.26276603142131
406,19151,4c520a2a2543a5935a4fe084,Keystone Pizza,Pizza Place,39.963971347154754,-75.26954694726875
407,19151,4bd20bf2046076b0081a7371,Little Saigon,Vietnamese Restaurant,39.96087998406077,-75.26319217471699
408,19151,4c4effd2db2c20a1bc865375,Vincent's Pizza,Pizza Place,39.97491909622357,-75.24920782491786
409,19151,4c13264482a3c9b6111cfbf8,Soop Bin,Korean Restaurant,39.960551934150615,-75.26258745024826
410,19151,4cdeef0f7e2e236a4f74821b,Bryn Mawr Pizza,Pizza Place,39.978567,-75.268265
411,19151,51b9d97a498ec7b5644ba5ea,Philly Pretzel Factory,Snack Place,39.9601618964195,-75.25860185147694
412,19151,5101ce1ae4b0176381ef28ae,Taco Bell,Fast Food Restaurant,39.96372586452906,-75.27084213500346
413,19151,4b16ab3af964a520bdbb23e3,Leandro's Pizza House,Pizza Place,39.95999872249174,-75.25864860095555
414,19151,4c5e00d985a1e21ed8375b11,Nag Won Garden,Korean Restaurant,39.963903,-75.271757
415,19151,4effaaa1f9abd5b3906c0f00,Papa John's Pizza,Pizza Place,39.979257000000004,-75.268827
416,19151,4c1e12e2fcf8c9b61fabac0b,City Line Deli,Deli / Bodega,39.979535337474815,-75.26844475800083
417,19151,4cf00859ed62721e42e963fd,Best Cake Bakery,Bakery,39.97939682006836,-75.2688217163086
418,19151,4ba62511f964a520c53639e3,New York Bagel,Bagel Shop,39.979774051971354,-75.26830820274797
419,19151,4b7ea679f964a5203df72fe3,Casablanca Moroccan Restaurant,Moroccan Restaurant,39.97984313964844,-75.2683334350586
420,19151,58acd85d13af1c1875d32d43,Daiki hibachi & sushi,Sushi Restaurant,39.97984313964844,-75.2683334350586
421,19151,4b4a763bf964a520668826e3,shalom pizza,Pizza Place,39.97955398333333,-75.26912613333333
422,19151,542fb37e498ea11026dbf02c,ihop,American Restaurant,39.958709368636754,-75.2579709790851
423,19152,4d6832fede28224b78a232be,Big Al's Italiano Ristorante & Pizzeria,Pizza Place,40.06060736431641,-75.04483009760764
424,19152,4c6337efde1b2d7fec4fe470,Big Al's,Pizza Place,40.060367584228516,-75.04435729980469
425,19152,4b6eccb8f964a52019cb2ce3,Dattilo's,Deli / Bodega,40.05990391263666,-75.05248450980542
426,19152,4bb66f5c46d4a593a53ac6c0,Gallo's Seafood,Seafood Restaurant,40.05783236496468,-75.04451807878644
427,19152,4ada27a7f964a5203e1f21e3,Nazareth Hospital Cafeteria,Restaurant,40.058082580566406,-75.0436019897461
428,19152,5adccf518c35dc7eae9de327,Ritz Diner,Diner,40.057252373281216,-75.047001985102
429,19152,4b6cb09bf964a520724c2ce3,Tuscany Ristorante,Italian Restaurant,40.05704824111185,-75.04773279189685
430,19152,4c62bfd3ec94a5934cf829ca,Lipkin's Bakery,Bakery,40.062080588047905,-75.055465062238
431,19152,4c265839136d20a15c30e561,Ilona Kellers Dugans,American Restaurant,40.053118264074136,-75.0433141233895
432,19152,4ce71c7de1eeb60c81fd9aae,Bellissima Pizza,Pizza Place,40.058515,-75.059593
433,19152,4f321a4e19836c91c7b61cf1,Espresso Cafe & Sushi Bar,Japanese Restaurant,40.058515,-75.059593
434,19152,4c607c9dde6920a117149664,By Brazil,Brazilian Restaurant,40.057897,-75.060162
435,19152,5914eadec4df1d6ddcf12c73,Dinner Time,American Restaurant,40.075764,-75.049902
436,19152,4bf536cbe5eba59308782090,Dunkin',Donut Shop,40.05152258938532,-75.05708582944771
437,19152,5cca183735f983002cbbda05,Taco Bell,Mexican Restaurant,40.051273,-75.056854
438,19152,5bd8fca189e490002c17caf9,Taqueria Del Norte,Taco Place,40.057148,-75.030334
439,19152,4ca7701b76d3a093ab810b6b,American Legion Post 810,Restaurant,40.07656627534014,-75.03903871026328
440,19152,4f32363019836c91c7c126ab,Supreme Pizza,Pizza Place,40.05486318039375,-75.06301685486908
441,19152,4b533cbbf964a5208f9327e3,New England Pizza,Pizza Place,40.071973865274984,-75.03126415293407
442,19152,4dc8337a2271f270516ea577,Kum Lin,Asian Restaurant,40.07173435,-75.0310216
443,19152,4bec2efab3352d7f475957d2,McDonald's,Fast Food Restaurant,40.05443771596421,-75.06310241067645
444,19152,4b609130f964a5200bee29e3,Primo Hoagies,Sandwich Place,40.07186794679396,-75.03044933080679
445,19154,4ba94ae5f964a520231c3ae3,Philly Pretzel Factory,Snack Place,40.096406422515415,-74.97432858365318
446,19154,4bb1531ff964a5205e8c3ce3,Hong Kong Chinese Restaurant,Chinese Restaurant,40.095897032975344,-74.97512639901798
447,19154,4e4562e618a8f9804cb9bb87,Entenmanns Bakery Outlet,Bakery,40.09579713335327,-74.97516648875092
448,19154,4ba94a99f964a520fe1b3ae3,Reens Deli,Deli / Bodega,40.09559426695617,-74.9753281708042
449,19154,4cb716a386e09eb0b8ac62e2,Dunkin',Donut Shop,40.09646305736271,-74.97499982764242
450,19154,4bb669b0ef159c7489e975f7,Pat's Pizzeria,Pizza Place,40.09551654619791,-74.97547584582838
451,19154,4f32a28119836c91c7eae9ce,Pats Pizzeria,Pizza Place,40.096038818359375,-74.97608947753906
452,19154,5cc381c604d1ae002ca9de04,K-Pot,Korean Restaurant,40.092495,-74.96293
453,19154,4baa9a84f964a520c5783ae3,Arby's,Fast Food Restaurant,40.089864,-74.964175
454,19154,4b57b916f964a520d53d28e3,Mr. V's Steaks,Fast Food Restaurant,40.088525155584556,-74.96627946084836
455,19154,51d5c963498ec1553541c6ac,Dunkin',Donut Shop,40.089397062703625,-74.96435123356798
456,19154,4bdf05e7e75c0f4743a3c903,KFC,Fried Chicken Joint,40.0889336074344,-74.96467617852153
457,19154,4bbb9744e4529521d0e454a4,Burger King,Fast Food Restaurant,40.08793425982951,-74.96716529130936
458,19154,4ba657a0f964a520664839e3,McDonald's,Fast Food Restaurant,40.08842367029156,-74.96501818299299
459,19154,4e2392401838712abe893f55,All Star Pizza,Pizza Place,40.0893315,-74.9768423
460,19154,4ccf310206b54688cda0d394,Franklin Mills Food Court,Food Court,40.0903402749153,-74.96135878740277
461,19154,4b8ad251f964a5205d8332e3,Taco Bell,Fast Food Restaurant,40.08769758301752,-74.96527639160269
462,19154,4cb716a786e09eb0c2ac62e2,Dunkin',Donut Shop,40.086435,-74.9717959
463,19154,4b330b7ff964a520441725e3,Joe Santucci's Square Pizza Bar and Grill,Pizza Place,40.08595689983307,-74.97142811894847
464,19154,4c375ee8ae2da593d2bdfec5,SUBWAY,Sandwich Place,40.087589263916016,-74.96229553222656
465,19154,4cf43f918333224b62f0198e,Sbarro,Pizza Place,40.09406280517578,-74.95781707763672
466,19154,59e938e66fa81f72c87f9da6,Cinnabon,Sandwich Place,40.087414,-74.961853
467,19154,4d2630db0167a1cd403aa4bd,Coffee Beanery #445,Café,40.087418,-74.961819
468,19154,4bb75b2c941ad13abf8920e3,Auntie Anne's,Snack Place,40.08744094386104,-74.9617725745958
469,19154,4e845a422c5b313283d77e24,SUBWAY,Sandwich Place,40.08539962768555,-74.9670639038086
470,19154,4b9bcbabf964a520222636e3,Joe Santucci's Original Square Pizza,Pizza Place,40.084869384765625,-74.97023010253906
471,19154,4d9b92deee8e14565e051cb7,The Works,Deli / Bodega,40.08477218641181,-74.97058255608461
472,19154,4bf2c6e89319a593bb55cb51,Great Wraps,Sandwich Place,40.08709716796875,-74.9612045288086
473,19154,4d4b1ed6102b236a786e6143,Speedy's Pizza,Pizza Place,40.084558,-74.972796
474,19154,4b96f3b1f964a520f0ef34e3,Juliano's Deli,Deli / Bodega,40.084531,-74.972738
